eta_c,epsilon_G,baseline_strategy,threshold_N,threshold_M,threshold_ratio,manual_skr,baseline_skr,max_ratio,min_ratio,manual_max_distance,baseline_max_distance,manual_min_distance,baseline_min_distance,working_distance_overlap,valid_comparison_points,max_ratio_distance,min_ratio_distance,max_ratio_manual_skr,max_ratio_baseline_skr,min_ratio_manual_skr,min_ratio_baseline_skr,n_advantageous_combinations
0.3,0.0001,F_th_0.95,256.0,512.0,3.8891061970860656,0.008672609177772413,0.005200218058400064,43.493292991835105,1.645102946554909,6951.927961775606,6951.927961775606,10.0,10.0,19.0,19.0,6951.927961775606,10.0,0.0005396493472474189,1.2407645182183056e-05,0.011232979592964815,0.006828131708406669,3
0.3,0.0001,F_th_0.97,128.0,512.0,2.0865658478019182,0.011907414678841693,0.006728578601590877,5.179112604237965,1.845503601885996,4832.930238571752,3359.818286283781,10.0,10.0,17.0,17.0,3359.818286283781,10.0,0.0013205654738367631,0.0002549791006197028,0.01655717495266469,0.008971629714374024,4
0.3,0.0001,SKR,512.0,512.0,1.1134747631714985,0.004262773296068196,0.003783739640350707,1.1384913271727204,1.0,10000.0,10000.0,10.0,10.0,20.0,20.0,10.0,6951.927961775606,0.005258987755739928,0.004619260270343796,0.0013338560648091151,0.0013338560648091151,2
0.3,0.001,F_th_0.95,32.0,512.0,2.228133223906829,0.007641306605105359,0.0052151065082586615,10.39793854309713,1.5425692667056805,1623.776739188721,1128.8378916846884,10.0,10.0,14.0,14.0,1128.8378916846884,10.0,0.0005107527290327554,4.912057586374449e-05,0.011935427933037302,0.007737369199975485,5
0.3,0.001,F_th_0.97,16.0,512.0,1.9901964634278844,0.011816853024370903,0.006967884246694121,3.4440830905545976,1.8026401050740233,784.7599703514607,545.5594781168514,10.0,10.0,12.0,12.0,545.5594781168514,10.0,0.0014237228215860775,0.00041338225128500507,0.01916093113225931,0.010629371374976975,5
0.3,0.001,SKR,64.0,512.0,1.2443573841034108,0.0035180465022735604,0.0027622409354687363,1.279469298230825,1.0,2335.7214690901214,2335.7214690901214,10.0,10.0,16.0,16.0,10.0,2335.7214690901214,0.005093671022384654,0.003981081085281127,4.921926760158154e-05,4.921926760158154e-05,4
0.5,0.0001,F_th_0.95,256.0,512.0,1.621594658808398,0.034381557566278906,0.021573427675512277,2.0272151283947095,1.5882824440166832,10000.0,10000.0,10.0,10.0,20.0,20.0,10000.0,10.0,0.0020285497459494196,0.0010006583502342778,0.044876123500512205,0.028254498228301787,3
0.5,0.0001,F_th_0.97,128.0,512.0,1.8205950427264694,0.04515439739674875,0.02656705997274579,2.1785263090497975,1.7869102970204827,6951.927961775606,4832.930238571752,10.0,10.0,18.0,18.0,4832.930238571752,10.0,0.003906110963298849,0.0017930061009924494,0.06345266072166934,0.035509706798081096,4
0.5,0.0001,SKR,512.0,512.0,1.1880232066665277,0.019461682614444902,0.016344943214704748,1.1935871078641453,1.146425163313427,10000.0,10000.0,10.0,10.0,20.0,20.0,10.0,10000.0,0.02297336374446424,0.01924732899098897,0.005674875474333472,0.004950061858317732,2
0.5,0.001,F_th_0.95,32.0,512.0,1.6120833742015157,0.026357360053326083,0.018623483243708213,2.875223386563447,1.5015942825793869,2335.7214690901214,1623.776739188721,10.0,10.0,15.0,15.0,1623.776739188721,10.0,0.0009892312411861391,0.00034405369885659486,0.04211358775754255,0.028045916427705944,6
0.5,0.001,F_th_0.97,16.0,512.0,1.8248542318849628,0.038650850334306326,0.023529998130286757,2.358765875352949,1.7586145050524895,1128.8378916846884,784.7599703514607,10.0,10.0,13.0,13.0,784.7599703514607,10.0,0.0024474825789236494,0.0010376114918812897,0.06484892921015527,0.03687501099521508,7
0.5,0.001,SKR,64.0,512.0,1.2739320867680017,0.013441530449073468,0.010374332375830683,1.2984269475181707,1.0,3359.818286283781,3359.818286283781,10.0,10.0,17.0,17.0,10.0,3359.818286283781,0.019576067557609954,0.015076756990470577,0.0001331987580284223,0.0001331987580284223,5
0.9,0.0001,F_th_0.95,256.0,512.0,1.5787726471072723,0.14118973185264233,0.0896027643767782,1.6202872167252411,1.5745848164967415,10000.0,10000.0,10.0,10.0,20.0,20.0,10000.0,10.0,0.01607043913911542,0.009918265708221378,0.18059092089137235,0.11469113571993222,3
0.9,0.0001,F_th_0.97,128.0,512.0,1.785796119464079,0.17283340255406227,0.10255296726543765,1.9476700207819202,1.7721025052018213,10000.0,6951.927961775606,10.0,10.0,19.0,19.0,6951.927961775606,10.0,0.00742095046626291,0.003810168245688591,0.25008838594921645,0.14112523695164822,4
0.9,0.0001,SKR,512.0,512.0,1.207071174986298,0.0822334440637461,0.06810460970615136,1.2079335027789022,1.2003394916934023,10000.0,10000.0,10.0,10.0,20.0,20.0,10.0,10000.0,0.09546536578912851,0.07903197118840266,0.029611981075626778,0.02466967160586469,2
0.9,0.001,F_th_0.95,32.0,512.0,1.5587869020234077,0.10161497140286121,0.0680878034205834,2.44826859879401,1.490091451487141,2335.7214690901214,2335.7214690901214,10.0,10.0,16.0,16.0,2335.7214690901214,10.0,0.0011436704063735419,0.000467134368727721,0.1588007092577214,0.1065711162219172,6
0.9,0.001,F_th_0.97,16.0,512.0,1.7907633632638282,0.13573935823416478,0.08316805058125995,2.243169162786045,1.7455914287600334,1623.776739188721,1128.8378916846884,10.0,10.0,14.0,14.0,1128.8378916846884,10.0,0.0029282787812017533,0.0013054203979715883,0.23875233299264745,0.13677446455052958,7
0.9,0.001,SKR,64.0,512.0,1.2853146731820906,0.05101339436777055,0.039064193775916974,1.3071020712123078,1.0,4832.930238571752,4832.930238571752,10.0,10.0,18.0,18.0,10.0,4832.930238571752,0.07662046950378787,0.058618581663422896,0.00014465458898940044,0.00014465458898940044,5
1.0,0.0001,F_th_0.95,256.0,512.0,1.576707269939596,0.17981806158802366,0.1142068885142635,1.6068493532915844,1.5736268163476237,10000.0,10000.0,10.0,10.0,20.0,20.0,10000.0,10.0,0.021526980105596765,0.013397012023248707,0.22960786042270798,0.14590998198392816,3
1.0,0.0001,F_th_0.97,128.0,512.0,3.7936451019255193,0.21961224098740223,0.12388458104651483,42.03760706572681,1.7710476560188462,10000.0,10000.0,10.0,10.0,20.0,20.0,10000.0,10.0,0.0006939009667560757,1.650667141141371e-05,0.3171320655084657,0.17906467080696725,4
1.0,0.0001,SKR,512.0,512.0,1.2083394534458818,0.10503202693538119,0.08690431391881925,1.208882383173286,1.2036911576510056,10000.0,10000.0,10.0,10.0,20.0,20.0,10.0,10000.0,0.12177736810550854,0.10073549734908537,0.03845878977584834,0.03195071221666227,2
1.0,0.001,F_th_0.95,32.0,512.0,1.5249285269113688,0.12838048159143467,0.08610096106450832,1.9546932827101595,1.4892398164122345,2335.7214690901214,2335.7214690901214,10.0,10.0,16.0,16.0,2335.7214690901214,10.0,0.0017746082919398332,0.0009078704611290009,0.20021305624478244,0.13443976855730383,6
1.0,0.001,F_th_0.97,16.0,512.0,1.7749362390781331,0.17093874110488735,0.10483168409550692,2.066283722794287,1.7446072838393059,1623.776739188721,1128.8378916846884,10.0,10.0,14.0,14.0,1128.8378916846884,10.0,0.004167279012308158,0.0020167990321642002,0.3000452816832166,0.17198442564272445,7
1.0,0.001,SKR,64.0,512.0,1.2868241773714297,0.06473562347941159,0.04953980517248444,1.3077394580920325,1.0,4832.930238571752,4832.930238571752,10.0,10.0,18.0,18.0,10.0,4832.930238571752,0.0969939634757101,0.07416918016469617,0.00026626180019335196,0.00026626180019335196,5
